Date,Time,L,R,Bottle,Amount,Breast,Formula,Food,Quantity,Response,Notes
2016-09-18,8:43:56 AM,,493,,,,,,,,
2016-09-18,7:52:21 AM,257,,,,,,,,,
2016-09-18,7:28:53 AM,531,,,,,,,,,
2016-09-18,5:54:34 AM,,742,,,,,,,,
2016-09-18,3:08:12 AM,500,,,,,,,,,
2016-09-17,8:08:02 PM,,1264,,,,,,,,
2016-09-17,7:25:44 PM,634,,,,,,,,,
2016-09-17,6:43:08 PM,,820.4857,,,,,,,,
2016-09-17,5:15:05 PM,608,,,,,,,,,
2016-09-17,3:27:17 PM,,814,,,,,,,,
2016-09-17,2:21:36 PM,411,,,,,,,,,
2016-09-17,1:09:53 PM,,493,,,,,,,,
2016-09-17,12:13:14 PM,793,,,,,,,,,
2016-09-17,11:06:29 AM,,325,,,,,,,,
2016-09-17,10:03:10 AM,588,,,,,,,,,
2016-09-17,8:53:01 AM,,744,,,,,,,,
2016-09-17,7:40:54 AM,523,,,,,,,,,
2016-09-17,5:32:15 AM,,764,,,,,,,,
2016-09-17,2:16:29 AM,538,,,,,,,,,
2016-09-16,8:22:00 PM,,641.9916,,,,,,,,
2016-09-16,7:22:39 PM,978.553,697,,,,,,,,
2016-09-16,6:38:43 PM,,540,,,,,,,,
2016-09-16,5:58:51 PM,516,,,,,,,,,
2016-09-16,4:34:59 PM,,295,,,,,,,,
2016-09-16,3:42:58 PM,471,,,,,,,,,
2016-09-16,2:15:53 PM,,900,,,,,,,,
2016-09-16,12:50:25 PM,1080,,,,,,,,,
2016-09-16,12:37:20 PM,,827,,,,,,,,
2016-09-16,12:08:47 PM,452,,,,,,,,,
2016-09-16,11:10:22 AM,341,,,,,,,,,
2016-09-16,9:14:46 AM,,1620,,,,,,,,
2016-09-16,8:30:04 AM,,968,,,,,,,,
2016-09-16,7:33:14 AM,501,,,,,,,,,
2016-09-16,6:00:25 AM,,484,,,,,,,,
2016-09-16,3:19:26 AM,503,,,,,,,,,
2016-09-15,7:37:21 PM,238,2578,,,,,,,,
2016-09-15,7:02:42 PM,840,,,,,,,,,
2016-09-15,6:12:19 PM,36.45981,368,,,,,,,,
2016-09-15,5:44:56 PM,151.7388,111,,,,,,,,
2016-09-15,4:23:41 PM,693,676,,,,,,,,
2016-09-15,3:26:10 PM,,720,,,,,,,,
2016-09-15,1:53:15 PM,576,,,,,,,,,
2016-09-15,1:05:03 PM,,764,,,,,,,,
2016-09-15,11:45:10 AM,875,,,,,,,,,
2016-09-15,10:50:54 AM,,756,,,,,,,,
2016-09-15,9:30:22 AM,742,,,,,,,,,
2016-09-15,8:10:40 AM,,1000,,,,,,,,
2016-09-15,7:14:04 AM,1067,,,,,,,,,
2016-09-15,5:28:39 AM,,461,,,,,,,,
2016-09-15,2:56:24 AM,742,,,,,,,,,
2016-09-14,9:23:06 PM,60,833,,,,,,,,
2016-09-14,7:40:05 PM,1483.273,582,,,,,,,,
2016-09-14,6:32:54 PM,,558,,,,,,,,
2016-09-14,4:57:35 PM,779,,,,,,,,,
2016-09-14,3:54:51 PM,,723,,,,,,,,
2016-09-14,3:22:00 PM,573.816,,,,,,,,,
2016-09-14,1:55:20 PM,,1200,,,,,,,,
2016-09-14,11:48:30 AM,528,,,,,,,,,
2016-09-14,10:37:03 AM,,1059,,,,,,,,
2016-09-14,9:38:31 AM,676,,,,,,,,,
2016-09-14,8:38:32 AM,889,,,,,,,,,
2016-09-14,7:37:13 AM,,709,,,,,,,,
2016-09-14,6:33:59 AM,,497,,,,,,,,
2016-09-14,4:04:37 AM,530,,,,,,,,,
2016-09-13,7:43:35 PM,1261,1129,,,,,,,,
2016-09-13,6:42:43 PM,,960,,,,,,,,
2016-09-13,5:42:14 PM,466,,,,,,,,,
2016-09-13,4:51:50 PM,,887,,,,,,,,
2016-09-13,3:59:57 PM,615,,,,,,,,,
2016-09-13,3:12:41 PM,,557,,,,,,,,
2016-09-13,2:23:46 PM,617,,,,,,,,,
2016-09-13,11:56:00 AM,,540,,,,,,,,
2016-09-13,10:14:00 AM,1549,,,,,,,,,
2016-09-13,8:57:54 AM,,418,,,,,,,,
2016-09-13,7:58:11 AM,636,,,,,,,,,
2016-09-13,6:11:27 AM,,951,,,,,,,,
2016-09-13,1:24:54 AM,455,,,,,,,,,
2016-09-12,8:29:59 PM,,1302,,,,,,,,
2016-09-12,7:47:11 PM,1506,,,,,,,,,
2016-09-12,6:48:06 PM,,596,,,,,,,,
2016-09-12,5:25:56 PM,1020,,,,,,,,,
2016-09-12,4:29:27 PM,,900,,,,,,,,
